RefundID,OrderID,RefundAmount,RefundReason
RF00787,O013355,393,Cancelled
RF00788,O009753,495,Late Delivery
RF00789,O003868,434,Late Delivery
RF00790,O004232,370,Cancelled
RF00791,O015743,235,Cancelled
RF00792,O011036,340,Late Delivery
RF00793,O009599,338,Cancelled
RF00794,O017707,470,Wrong Item
RF00795,O008959,57,Late Delivery
RF00796,O014866,246,Late Delivery
RF00797,O001355,389,Quality Issue
RF00798,O015766,356,Quality Issue
RF00799,O010296,467,Wrong Item
RF00800,O006169,388,Quality Issue
